122.58.117.81:995,qakbot
14.241.244.60:443,trickbot
144.48.138.213:443,trickbot
144.48.139.206:443,trickbot
147.124.219.204:9909,asyncrat
162.55.163.120:3880,redline
172.104.241.29:443,trickbot
172.105.15.152:443,trickbot
176.96.238.36:51407,redline
177.67.137.111:443,trickbot
181.129.116.58:443,trickbot
181.129.242.202:443,trickbot
181.167.217.53:443,trickbot
185.136.169.24:54984,nanocore
185.140.53.135:1187,nanocore
185.140.53.9:2022,nanocore
185.157.161.205:1973,asyncrat
185.189.55.207:443,trickbot
185.9.187.10:443,trickbot
186.225.63.18:443,trickbot
186.66.15.10:443,trickbot
186.97.172.178:443,trickbot
187.19.167.233:443,trickbot
188.40.193.166:10038,redline
189.206.78.155:443,trickbot
190.110.179.139:443,trickbot
192.168.119.150:443,metasploit
194.5.98.10:5000,nanocore
194.5.98.17:2133,nanocore
195.133.40.109:5200,warzonerat
196.41.57.46:443,trickbot
196.43.106.38:443,trickbot
197.254.14.238:443,trickbot
202.138.242.7:443,trickbot
202.166.196.111:443,trickbot
2022.hopto.org:2022,nanocore
203.159.80.127:645,nanocore
207.32.219.26:6666,asyncrat
212.200.25.118:443,trickbot
27.72.107.215:443,trickbot
36.94.100.202:443,trickbot
36.94.27.124:443,trickbot
37.228.70.134:443,trickbot
43.245.216.116:443,trickbot
45.139.236.71:44961,redline
45.229.71.211:443,trickbot
62.113.119.33:23187,redline
78.129.249.105:2017,remcos
79.134.225.125:2000,nanocore
79.134.225.75:2050,asyncrat
80.92.205.112:81,redline
81.163.246.9:5020,asyncrat
86.107.197.200:40355,redline
:8978,nanocore
auth.colipinora.com,gozi_ifsb
believe2021.ddns.net:8181,nanocore
brershrowal.xyz:80,redline
edubros.duckdns.org:2133,nanocore
festus1.ddns.net:8978,nanocore
freedemboiz.ddns.net:30312,nanocore
ghdyuienah123.freedynamicdns.org:2006,remcos
gsyagvxnzmkoplbhduisbagtevcnxmzlopljdgye.ydns.eu:2177,remcos
hdgavzxcniopkjhsvcbnxmnzvqaswyiokdseacbu.ydns.eu:1772,nanocore
hjduiebcvzcalpmjdbcnwqadhsiybcnzxswedgap.ydns.eu:2024,remcos
http://173.208.204.37/k.php/0QZhfol01lJUV,lokibot
http://173.208.204.37/k.php/tfqt7RifXPW3W,lokibot
http://173.208.204.37/k.php/WHb9azUVV5WZB,lokibot
http://176.57.68.60/azo/mia/index.php,azorult
http://195.133.40.71/azonc/fre.php,lokibot
http://31.210.21.252/index.php,azorult
http://63e2e5290bcf.ngrok.io/gate.php,pony
http://akinseltv.com/mkdmc/index.php,azorult
http://cdn1.agency.thomsonreuters.com/access,cobaltstrike
http://cipluks.com/upload/,smokeloader
http://d23gzt9pw4yryc.cloudfront.net:443/adminer/query_result.php,cobaltstrike
http://eln.meizu.com:80/api/v3/check,cobaltstrike
http://euvereginumet.ru/8/forum.php,hancitor
http://ezman123123.000webhostapp.com/index.php,azorult
http://fashmie.com:443/assets/environment-f0a84e0c1.js,cobaltstrike
http://fesfesfsefes.000webhostapp.com/index.php,azorult
http://frannn.duckdns.org/index.php,azorult
